Ticker,Valor atual,Min. 52 semanas,Máx. 52 semanas,Dividend Yield,Valorização (12m),Tipo,PART. IBOV,MERCADO DE OPÇÕES,TOMADOR (média),DOADOR (média),Nº DE AÇÕES ALUGADAS (dia),VOLUME (dia),Nº DE CONTRATOS,,Ano passado,Ano atual,Comparação,Provisionado,Comparação + Provisionado,Ativos,Ativo circulante,Dívida bruta,Disponibilidade,Dívida líquida,Valor de mercado,Valor de firma,Segmento de listagem,Free Float,Setor de Atuação,Subsetor de Atuação,Segmento de Atuação,Investidores,Institucional,Pessoa jurídica,Pessoa física,{helper},UNIT - Composição
aalr3,"14,56","6,19","17,07",-,"51,35%",ON,"0,000",0,"1,44","1,44",14.481,128.736,9,1.119.655.000,"0,0000","0,0000","0,00%","0,0000","0,00%",2.692.409.000,563.769.000,841.166.000,254.478.000,586.688.000,1.722.343.401,2.309.031.401,Novo Mercado,"6,83%",Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,6.067,124,42,5.901,-,
abcb4,"21,26","17,55","24,65","7,18","15,54%",PN,"0,000",45,"0,06","0,06",599.637,14.978.932,32,5.889.901.000,"0,8360","0,7850","6,10%","0,0000","6,10%",60.510.713.000,0,47.465.593.000,647.009.000,46.818.584.000,5.201.404.780,52.019.988.780,Nível 2,"30,27%",Financeiro e Outros,Intermediários Financeiros,Bancos,40.904,282,474,40.148,-,
abev3,"12,92","11,09","14,07","5,65","5,47%",ON,"2,645",324,"0,17","0,17",4.646.374,57.847.356,458,95.262.776.000,"0,0000","0,0000","0,00%","0,0000","0,00%",143.438.846.000,38.316.335.000,3.456.152.000,15.341.591.000,-11.885.439.000,203.588.932.781,191.703.493.781,,"27,89%",Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes,310.643,652,1.897,308.094,-,
adhm3,"1,56",-,-,-,-%,ON,"0,000",0,"5,00","5,00",38,72,1,-19.776.000,"0,0000","0,0000","0,00%","0,0000","0,00%",242.000,23.000,0,0,0,25.439.770,25.439.770,,--%,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,709,0,15,694,-,
aeri3,"6,41","5,09","20,20",-,"-59,94%",ON,"0,000",4,"0,46","0,46",1.112.102,622.777,28,1.094.390.000,"0,0000","0,0000","0,00%","0,0000","0,00%",3.654.948.000,2.367.105.000,1.543.679.000,977.427.000,566.252.000,398.190.456,964.442.456,Novo Mercado,"57,08%",Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,82.804,213,223,82.368,-,
aesb3,"11,76","9,11","12,54","0,63","13,19%",ON,"0,000",22,"0,06","0,06",629.250,6.412.058,65,4.262.700.000,"0,0000","0,0746","0,00%","0,0000","0,00%",20.299.813.000,3.405.914.000,12.191.010.000,2.174.219.000,10.016.791.000,7.103.624.260,17.120.415.260,Novo Mercado,"52,53%",Utilidade Pública,Energia Elétrica,Energia Elétrica,210.278,312,674,209.292,-,
aflt3,"7,03","6,61","8,09","1,81","5,08%",ON,"0,000",0,"2,75","2,75",400,3.484,2,261.489.000,"0,2626","0,1272","51,55%","0,0000","51,55%",298.408.000,67.311.000,84.000,13.748.000,-13.664.000,443.485.441,429.821.441,,"1,33%",Utilidade Pública,Energia Elétrica,Energia Elétrica,3.360,102,172,3.086,-,
agro3,"25,23","23,27","28,20","12,73","-2,96%",ON,"0,000",21,"0,15","0,15",245.764,6.094.947,53,2.179.679.000,"0,0000","0,0000","0,00%","0,0000","0,00%",3.605.082.000,1.099.490.000,1.043.998.000,193.894.000,850.104.000,2.590.703.292,3.440.807.292,Novo Mercado,"62,15%",Consumo não Cíclico,Agropecuária,Agricultura,116.757,220,372,116.165,-,
agxy3,"0,53","0,53","4,21",-,"-87,17%",ON,"0,000",0,"6,41","6,41",30.343,60.686,18,705.136.000,"0,0397","0,0000","100,00%","0,0000","100,00%",6.513.329.000,4.248.707.000,1.442.012.000,393.261.000,1.048.751.000,134.908.095,1.183.659.095,Novo Mercado,"31,94%",Consumo não Cíclico,Agropecuária,Agricultura,1.842,60,7,1.775,-,
aheb3,"38,00","14,99","38,00",-,"137,50%",ON,"0,000",0,"2,00","2,00",11,0,1,134.277.000,,,%,,%,509.841.000,304.025.000,3.269.000,86.064.000,-82.795.000,325.076.023,242.281.023,,"3,25%",Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,3.670,0,875,2.795,-,
aheb5,"41,00","16,59","41,00",-,"147,14%",PNA,"0,000",0,"0,01","0,01",2,40,1,134.277.000,,,%,,%,509.841.000,304.025.000,3.269.000,86.064.000,-82.795.000,325.076.023,242.281.023,,"3,25%",Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,3.670,0,875,2.795,-,
aheb6,"35,50","20,00","35,50",-,"77,50%",PNB,"0,000",0,"2,00","2,00",100,0,1,134.277.000,,,%,,%,509.841.000,304.025.000,3.269.000,86.064.000,-82.795.000,325.076.023,242.281.023,,"3,25%",Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,3.670,0,875,2.795,-,
alld3,"7,62","4,39","8,80","20,37","62,82%",ON,"0,000",0,"5,35","5,35",19.400,184.300,10,1.596.435.000,"0,0000","1,0698","0,00%","0,0000","0,00%",3.637.042.000,2.514.085.000,600.594.000,421.621.000,178.973.000,715.012.642,893.985.642,Novo Mercado,"28,97%",Consumo Cíclico,Comércio,Eletrodomésticos,5.659,76,68,5.515,-,
alos3,"22,43","19,35","25,29","5,42","2,51%",ON,"0,519",114,"0,12","0,12",964.356,23.279.554,73,14.003.250.000,"0,5190","1,2147","134,04%","0,1902","170,69%",27.504.919.000,4.605.377.000,0,3.567.104.000,-3.567.104.000,12.178.074.869,8.610.970.869,Novo Mercado,"90,69%",Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,73.259,1.260,283,71.716,-,
alpa3,"6,58","6,58","10,79",-,"-13,31%",ON,"0,000",0,"5,00","5,00",100,1.004,1,3.898.339.000,"0,0000","0,0000","0,00%","0,0000","0,00%",6.555.466.000,3.379.752.000,1.416.275.000,1.275.587.000,140.688.000,4.611.356.942,4.752.044.942,Nível 1,"26,04%",Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,19.119,175,1.082,17.862,-,
alpa4,"6,92","6,83","10,32",-,"-5,72%",PN,"0,054",101,"0,54","0,54",1.047.397,9.876.954,162,3.898.339.000,"0,0000","0,0000","0,00%","0,0000","0,00%",6.555.466.000,3.379.752.000,1.416.275.000,1.275.587.000,140.688.000,4.611.356.942,4.752.044.942,Nível 1,"26,04%",Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,19.119,175,1.082,17.862,-,
alpk3,"2,65","2,61","4,93",-,"-35,52%",ON,"0,000",0,"5,00","5,00",1.300,5.837,1,355.256.000,,,%,,%,2.656.070.000,499.030.000,1.547.454.000,304.402.000,1.243.052.000,575.113.666,1.818.165.666,Novo Mercado,"40,77%",Bens Industriais,Serviços,Serviços Diversos,5.068,51,38,4.979,-,
aluguel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alup11,"29,40","25,65","32,66","4,39","13,56%",,"0,000",34,"0,34","0,34",112.541,3.484.269,56,7.814.087.000,"1,6800","1,1700","30,36%","0,0000","30,36%",30.088.771.000,6.401.195.000,12.479.991.000,3.757.010.000,8.722.981.000,9.318.297.974,18.041.278.974,Nível 2,"47,84%",Utilidade Pública,Energia Elétrica,Energia Elétrica,127.685,908,908,125.869,-,1 ON (ALUP3)
alup3,"10,00","8,52","11,24","4,30","16,14%",ON,"0,000",0,"5,00","5,00",364,3.786,1,7.814.087.000,"0,5600","0,3900","30,36%","0,0000","30,36%",30.088.771.000,6.401.195.000,12.479.991.000,3.757.010.000,8.722.981.000,9.318.297.974,18.041.278.974,Nível 2,"47,84%",Utilidade Pública,Energia Elétrica,Energia Elétrica,127.685,908,908,125.869,-,
alup4,"9,73","8,51","10,68","4,42","12,10%",PN,"0,000",0,"3,00","3,00",1.444,14.787,2,7.814.087.000,"0,5600","0,3900","30,36%","0,0000","30,36%",30.088.771.000,6.401.195.000,12.479.991.000,3.757.010.000,8.722.981.000,9.318.297.974,18.041.278.974,Nível 2,"47,84%",Utilidade Pública,Energia Elétrica,Energia Elétrica,127.685,908,908,125.869,-,
amar3,"1,02","1,01","4,14",-,"-62,91%",ON,"0,000",13,"18,85","18,85",267.785,487.369,78,-144.137.000,"0,0000","0,0000","0,00%","0,0000","0,00%",2.376.255.000,934.154.000,982.678.000,96.886.000,885.792.000,523.725.164,1.409.517.164,Novo Mercado,"7,06%",Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,63.674,311,269,63.094,-,
ambp3,"134,00","8,05","149,00",-,"590,01%",ON,"0,000",82,"3,67","3,67",673.921,10.196.425,73,1.515.806.000,"0,1341","0,0000","100,00%","0,0000","100,00%",13.177.779.000,5.487.722.000,8.809.098.000,3.501.966.000,5.307.132.000,22.383.610.446,27.690.742.446,Novo Mercado,"21,98%",Utilidade Pública,Água e Saneamento,Água e Saneamento,40.743,412,207,40.124,-,
amer3,"3,97","3,84","118,00",-,"-94,84%",ON,"0,000",0,"29,38","29,38",22.096.134,12.152.874,2.665,-30.359.000.000,"0,0000","0,0000","0,00%","0,0000","0,00%",25.902.000.000,10.705.000.000,29.316.000.000,5.016.000.000,24.300.000.000,794.868.493,25.094.868.493,Novo Mercado,"49,99%",Consumo Cíclico,Comércio,Produtos Diversos,149.018,563,2.089,146.366,-,
anim3,"2,46","2,24","4,66","19,16","-6,82%",ON,"0,000",83,"0,12","0,12",789.997,3.720.886,46,2.437.734.000,"0,0000","0,4713","0,00%","0,0000","0,00%",9.774.881.000,2.140.256.000,5.078.115.000,1.180.041.000,3.898.074.000,993.517.260,4.891.591.260,Novo Mercado,"63,64%",Consumo Cíclico,Diversos,Serviços Educacionais,20.160,443,115,19.602,-,
aper3,"46,75","31,82","47,00",-,"40,94%",ON,"0,000",0,"4,03","4,03",667,29.715,8,472.202.000,"0,3237","0,0000","100,00%","0,0000","100,00%",939.386.000,247.459.000,188.864.000,124.362.000,64.502.000,953.269.947,1.017.771.947,,"2,00%",Financeiro e Outros,Previdência e Seguros,Corretoras de Seguros,3.026,17,96,2.913,-,
apti3,"197,64",-,-,"22,22",-%,ON,"0,000",0,"0,00","0,00",0,0,0,263.057.000,"0,0000","43,9057","0,00%","0,0000","0,00%",500.122.000,213.519.000,56.815.000,71.229.000,-14.414.000,37.417.457,23.003.457,,"15,46%",Consumo não Cíclico,Agropecuária,Agricultura,5,0,1,4,-,
apti4,"2.930,92","2.930,92","2.930,92","1,65","0,00%",PN,"0,000",0,"0,00","0,00",0,0,0,263.057.000,"0,0000","48,2962","0,00%","0,0000","0,00%",500.122.000,213.519.000,56.815.000,71.229.000,-14.414.000,37.417.457,23.003.457,,"15,46%",Consumo não Cíclico,Agropecuária,Agricultura,5,0,1,4,-,
arml3,"8,14","7,85","17,45","3,91","-32,56%",ON,"0,000",6,"2,61","2,61",215.626,2.684.544,35,1.288.620.000,"0,0000","0,3179","0,00%","0,0000","0,00%",4.898.506.000,1.789.139.000,2.854.485.000,1.175.704.000,1.678.781.000,2.820.461.950,4.499.242.950,Novo Mercado,"49,52%",Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,2.279,192,29,2.058,-,
asai3,"7,13","6,50","14,93",-,"-38,38%",ON,"0,424",189,"3,58","3,58",11.312.765,168.333.943,791,4.827.000.000,"0,0500","0,0000","100,00%","0,0000","100,00%",44.074.000.000,15.641.000.000,17.732.000.000,5.104.000.000,12.628.000.000,9.640.401.693,22.268.401.693,Novo Mercado,"99,82%",Consumo não Cíclico,Comércio e Distribuição,Alimentos,45.945,1.481,583,43.881,-,
atmp3,"1,46","1,28","4,55",-,"-51,01%",ON,"0,000",0,"5,25","5,25",400,864,1,394.768.000,"0,0000","0,0000","0,00%","0,0000","0,00%",1.296.471.000,324.604.000,243.875.000,68.959.000,174.916.000,38.997.120,213.913.120,,"38,07%",Bens Industriais,Serviços,Serviços Diversos,4.005,37,17,3.951,-,
atom3,"2,69","1,89","2,78",-,"25,70%",ON,"0,000",0,"15,46","15,46",45,86,1,38.072.000,"0,3204","0,0000","100,00%","0,0000","100,00%",50.926.000,18.103.000,0,7.168.000,-7.168.000,64.035.176,56.867.176,,"26,79%",Financeiro e Outros,Outros,Outros,6.069,0,35,6.034,-,
aura33,"21,11","9,81","22,00","4,84","90,35%",ON,"0,000",0,"11,80","11,80",1.084,39.111,3,1.379.764.000,"0,2300","0,6133","166,67%","0,0000","166,67%",4.902.850.000,1.753.805.000,1.858.990.000,1.067.103.000,791.887.000,4.584.998.588,5.376.885.588,,"13,51%",Materiais Básicos,Mineração,Minerais Metálicos,34.127,28,483,33.616,-,
aure3,"10,15","10,06","13,19","18,72","-15,35%",ON,"0,137",51,"0,07","0,07",1.291.193,15.274.813,95,12.315.534.000,"1,5000","0,4000","73,33%","0,0000","73,33%",29.259.449.000,7.315.927.000,8.309.704.000,4.992.046.000,3.317.658.000,10.150.000.000,13.467.658.000,Novo Mercado,"29,17%",Utilidade Pública,Energia Elétrica,Energia Elétrica,44.538,647,464,43.427,-,
avll3,"3,11","3,09","6,35",-,"-33,26%",ON,"0,000",0,"10,00","10,00",4,16,1,-75.358.000,,,%,,%,1.421.363.000,549.878.000,584.016.000,294.057.000,289.959.000,607.476.490,897.435.490,Novo Mercado,"21,36%",Consumo Cíclico,Construção Civil,Incorporações,266,44,4,218,-,
azev3,"1,31","1,17","2,33",-,"-43,78%",ON,"0,000",0,"5,12","5,12",24.600,31.734,2,278.841.000,"0,0000","0,0000","0,00%","0,0000","0,00%",686.918.000,154.334.000,34.968.000,1.950.000,33.018.000,257.534.376,290.552.376,,"82,51%",Bens Industriais,Construção e Engenharia,Construção Pesada,12.361,43,129,12.189,-,
azev4,"1,30","1,06","2,42",-,"-46,28%",PN,"0,000",0,"2,78","2,78",232.773,265.361,14,278.841.000,"0,0000","0,0000","0,00%","0,0000","0,00%",686.918.000,154.334.000,34.968.000,1.950.000,33.018.000,257.534.376,290.552.376,,"82,51%",Bens Industriais,Construção e Engenharia,Construção Pesada,12.361,43,129,12.189,-,
azul4,"6,04","4,04","17,80",-,"-55,29%",PN,"0,091",408,"0,93","0,93",2.019.693,28.518.065,454,-26.166.566.000,,,%,,%,22.831.219.000,4.954.503.000,30.508.584.000,1.475.512.000,29.033.072.000,2.102.747.461,31.135.819.461,Nível 2,"50,08%",Bens Industriais,Transporte,Transporte Aéreo,134.204,395,714,133.095,-,
azza3,"41,91","40,54","67,99","3,87","-31,43%",ON,"0,249",365,"0,89","0,89",684.232,43.428.205,375,3.069.791.000,"0,8498","0,5407","36,37%","0,0000","36,37%",6.002.810.000,2.843.934.000,1.212.509.000,562.698.000,649.811.000,8.653.988.063,9.303.799.063,Novo Mercado,"66,17%",Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,38.086,780,370,36.936,-,
b3sa3,"10,90","9,92","14,36","3,68","-0,09%",ON,"2,753",471,"0,05","0,05",7.252.098,87.170.218,543,19.129.636.000,"0,3180","0,3011","5,32%","0,0000","5,32%",46.444.945.000,16.781.627.000,12.758.723.000,15.147.668.000,-2.388.945.000,59.148.850.000,56.759.905.000,Novo Mercado,"99,37%",Financeiro e Outros,Serviços Financeiros Diversos,Serviços Financeiros Diversos,359.216,1.528,2.933,354.755,-,
bahi3,"5,12","5,12","9,78",-,"-45,01%",ON,"0,000",0,"5,40","5,40",100,824,1,93.107.000,"0,0000","0,0000","0,00%","0,0000","0,00%",547.054.000,35.000.000,113.649.000,10.785.000,102.864.000,135.119.780,237.983.780,,"22,15%",Consumo Cíclico,Diversos,Serviços Educacionais,1.136,34,43,1.059,-,
balm3,"16,00","9,18","16,20",-,"55,95%",ON,"0,000",0,"2,00","2,00",24,405,1,157.918.000,"0,2159","0,0000","100,00%","0,0000","100,00%",263.441.000,188.625.000,18.290.000,64.465.000,-46.175.000,128.380.000,82.205.000,,"35,56%",Saúde,Equipamentos,Equipamentos,1.102,0,17,1.085,-,
balm4,"10,20","8,94","11,52",-,"8,40%",PN,"0,000",0,"2,00","2,00",5,0,1,157.918.000,"0,2159","0,0000","100,00%","0,0000","100,00%",263.441.000,188.625.000,18.290.000,64.465.000,-46.175.000,128.380.000,82.205.000,,"35,56%",Saúde,Equipamentos,Equipamentos,1.102,0,17,1.085,-,
bauh3,"0,00",-,-,-,-%,,"0,000",0,"0,00","0,00",0,0,0,113.812.000,,,%,,%,173.093.000,77.424.000,836.000,34.609.000,-33.773.000,-,-,,"28,89%",Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,280,4,8,268,-,
bauh4,"78,98","69,29","81,05",-,"12,56%",PN,"0,000",0,"5,00","5,00",100,0,1,113.812.000,"1,2093","0,0000","100,00%","0,0000","100,00%",173.093.000,77.424.000,836.000,34.609.000,-33.773.000,-,-,,"28,89%",Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,280,4,8,268,-,
baza3,"92,25","72,78","103,00","7,18","10,00%",ON,"0,000",0,"5,00","5,00",38,3.761,2,6.461.355.000,"5,3298","6,6252","24,30%","0,0000","24,30%",51.049.087.000,2.014.038.000,-,2.014.038.000,-,5.171.379.559,5.171.379.559,,"2,99%",Financeiro e Outros,Intermediários Financeiros,Bancos,15.506,3,539,14.964,-,
bbas3,"26,56","22,44","29,09","9,48","15,88%",ON,"3,497",743,"0,19","0,19",1.614.653,90.372.128,318,178.886.881.000,"1,7225","1,9531","13,39%","0,0000","13,39%",2.330.349.036.000,85.770.646.000,-,85.770.646.000,-,152.210.952.102,152.210.952.102,Novo Mercado,"49,60%",Financeiro e Outros,Intermediários Financeiros,Bancos,870.412,1.438,15.061,853.913,-,
bbdc3,"13,14","10,78","14,50","10,44","13,67%",ON,"0,901",145,"0,09","0,09",1.580.939,20.251.829,80,164.632.437.000,"0,8819","0,7112","19,35%","0,0345","15,44%",2.003.850.390.000,214.796.802.000,-,214.796.802.000,-,149.824.424.024,149.824.424.024,Nível 1,"62,15%",Financeiro e Outros,Intermediários Financeiros,Bancos,834.463,1.223,35.088,798.152,-,
bbdc4,"15,02","12,05","16,27","10,05","13,02%",PN,"3,548",562,"0,02","0,02",3.298.942,47.372.807,225,164.632.437.000,"0,9701","0,7823","19,35%","0,0379","15,44%",2.003.850.390.000,214.796.802.000,-,214.796.802.000,-,149.824.424.024,149.824.424.024,Nível 1,"62,15%",Financeiro e Outros,Intermediários Financeiros,Bancos,834.463,1.223,35.088,798.152,-,
bbml3,"3.936,42",-,-,-,-%,ON,"0,000",0,"0,00","0,00",0,0,0,-22.632.000,"0,0000","0,0000","0,00%","0,0000","0,00%",1.134.298.000,382.911.000,458.574.000,3.452.000,455.122.000,160.451.699.192,160.906.821.192,,--%,Bens Industriais,Serviços,Serviços Diversos,3,1,0,2,-,
bbse3,"34,00","28,33","37,42","7,80","15,96%",ON,"1,008",262,"0,09","0,09",1.275.676,41.727.362,203,10.061.717.000,"3,4862","2,6522","23,92%","0,0000","23,92%",19.018.963.000,5.503.218.000,-,4.286.950.000,-,68.000.000.000,68.000.000.000,Novo Mercado,"31,87%",Financeiro e Outros,Previdência e Seguros,Seguradoras,355.412,1.310,2.572,351.530,-,
bdll3,"12,00","10,00","13,01",-,"14,29%",ON,"0,000",0,"2,00","2,00",1,11,1,-222.010.000,"0,0000","0,0000","0,00%","0,0000","0,00%",553.992.000,253.734.000,183.498.000,17.151.000,166.347.000,16.519.418,182.866.418,,"76,93%",Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,1.190,15,18,1.157,-,
bdll4,"9,30","7,00","11,80",-,"3,33%",PN,"0,000",0,"4,00","4,00",8,74,1,-222.010.000,"0,0000","0,0000","0,00%","0,0000","0,00%",553.992.000,253.734.000,183.498.000,17.151.000,166.347.000,16.519.418,182.866.418,,"76,93%",Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,1.190,15,18,1.157,-,
beef3,"5,59","5,54","8,11",-,"-28,33%",ON,"0,068",336,"0,10","0,10",9.135.291,61.297.803,811,669.700.000,"0,5509","0,0000","100,00%","0,0000","100,00%",34.855.127.000,23.415.624.000,26.086.717.000,16.512.985.000,9.573.732.000,3.394.714.245,12.968.446.245,Novo Mercado,"43,04%",Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,64.663,649,325,63.689,-,
bees3,"8,84","7,92","9,42","7,42","10,78%",ON,"0,000",0,"5,00","5,00",279,2.411,2,2.158.366.000,"0,4819","0,5037","4,53%","0,0456","13,99%",38.348.042.000,3.967.467.000,-,3.967.467.000,-,2.823.236.152,2.823.236.152,,"4,59%",Financeiro e Outros,Intermediários Financeiros,Bancos,39.941,8,57,39.876,-,
bees4,"9,20","8,69","10,30","5,13","0,99%",PN,"0,000",0,"5,00","5,00",99,978,1,2.158.366.000,"0,4819","0,3201","33,57%","0,0456","24,11%",38.348.042.000,3.967.467.000,-,3.967.467.000,-,2.823.236.152,2.823.236.152,,"4,59%",Financeiro e Outros,Intermediários Financeiros,Bancos,39.941,8,57,39.876,-,
bfre11,"0,00",-,-,-,-%,,"0,000",0,"0,00","0,00",0,0,0,222.138.000,,,%,,%,253.415.000,15.000,-,15.000,-,-,-,,--%,Financeiro e Outros,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,1,0,1,0,-,
bfre12,"0,00",-,-,-,-%,,"0,000",0,"0,00","0,00",0,0,0,222.138.000,,,%,,%,253.415.000,15.000,-,15.000,-,-,-,,--%,Financeiro e Outros,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,1,0,1,0,-,
bgip3,"25,50","22,57","31,40","8,60","5,85%",ON,"0,000",0,"5,00","5,00",1,29,1,714.729.000,"2,2431","2,1937","2,20%","0,0000","2,20%",10.131.331.000,4.981.031.000,-,2.301.414.000,-,457.478.216,457.478.216,,"8,54%",Financeiro e Outros,Intermediários Financeiros,Bancos,3.381,11,333,3.037,-,
bgip4,"23,80","19,62","27,74","10,14","14,42%",PN,"0,000",0,"10,00","10,00",42,0,5,714.729.000,"2,4674","2,4131","2,20%","0,0000","2,20%",10.131.331.000,4.981.031.000,-,2.301.414.000,-,457.478.216,457.478.216,,"8,54%",Financeiro e Outros,Intermediários Financeiros,Bancos,3.381,11,333,3.037,-,
bhia3,"4,46","4,03","14,75",-,"-67,56%",ON,"0,000",376,"2,34","2,34",4.221.043,26.508.150,10.529,3.242.000.000,"0,0000","0,0000","0,00%","0,0000","0,00%",31.176.000.000,12.733.000.000,8.817.000.000,1.858.000.000,6.959.000.000,424.078.016,7.383.078.016,Novo Mercado,"99,87%",Consumo Cíclico,Comércio,Eletrodomésticos,454.483,857,2.122,451.504,-,
bidi11,"10,40",-,-,-,-%,,"0,000",0,"34,07","34,07",2.460.925,0,133,8.357.164.000,"0,0000","0,0000","0,00%","0,0000","0,00%",38.625.095.000,1.171.640.000,-,0,-,8.991.139.765,8.991.139.765,,--%,Financeiro e Outros,Intermediários Financeiros,Bancos,1,1,0,0,-,1 ON (BIDI3)
bidi3,"3,40",-,-,-,-%,ON,"0,000",0,"3,20","3,20",4.100,0,3,8.357.164.000,"0,0000","0,0000","0,00%","0,0000","0,00%",38.625.095.000,1.171.640.000,-,0,-,8.991.139.765,8.991.139.765,,--%,Financeiro e Outros,Intermediários Financeiros,Bancos,1,1,0,0,-,
bidi4,"3,41",-,-,-,-%,PN,"0,000",0,"65,46","65,46",13.001,0,16,8.357.164.000,"0,0000","0,0000","0,00%","0,0000","0,00%",38.625.095.000,1.171.640.000,-,0,-,8.991.139.765,8.991.139.765,,--%,Financeiro e Outros,Intermediários Financeiros,Bancos,1,1,0,0,-,
biom3,"8,90","4,04","20,19",-,"112,92%",ON,"0,000",0,"5,95","5,95",1.061,9.814,2,304.663.000,"0,0000","0,0000","0,00%","0,0000","0,00%",504.137.000,286.499.000,133.104.000,186.853.000,-53.749.000,1.128.889.181,1.075.140.181,,"66,71%",Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,2.289,0,109,2.180,-,
blau3,"13,67","9,23","16,90","2,67","-10,65%",ON,"0,000",7,"5,90","5,90",84.913,1.037.637,25,2.042.719.000,"0,4223","0,3643","13,73%","0,0000","13,73%",3.098.088.000,1.498.275.000,560.390.000,376.376.000,184.014.000,2.452.315.146,2.636.329.146,Novo Mercado,"16,55%",Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,9.441,265,54,9.122,-,
blut3,"5,14",-,-,-,-%,ON,"0,000",0,"2,00","2,00",25,0,1,56.569.000,"0,0000","0,0000","0,00%","0,0000","0,00%",189.948.000,66.000,6.748.000,0,6.748.000,14.115.600,20.863.600,,--%,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas,6.710,12,55,6.643,-,
blut4,"1,52",-,-,-,-%,PN,"0,000",0,"5,00","5,00",77,0,1,56.569.000,"0,0000","0,0000","0,00%","0,0000","0,00%",189.948.000,66.000,6.748.000,0,6.748.000,14.115.600,20.863.600,,--%,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas,6.710,12,55,6.643,-,
bmeb3,"36,71","12,63","39,99","4,61","185,68%",ON,"0,000",0,"5,00","5,00",32,0,2,1.810.147.000,"0,6872","0,9408","36,90%","0,0000","36,90%",22.160.762.000,0,18.781.703.000,3.686.938.000,15.094.765.000,3.959.062.884,19.053.827.884,Nível 1,"46,32%",Financeiro e Outros,Intermediários Financeiros,Bancos,3.766,22,587,3.157,-,
bmeb4,"39,50","10,92","41,99","4,71","250,18%",PN,"0,000",0,"56,47","56,47",177,4.252,3,1.810.147.000,"0,7560","1,0349","36,90%","0,0000","36,90%",22.160.762.000,0,18.781.703.000,3.686.938.000,15.094.765.000,3.959.062.884,19.053.827.884,Nível 1,"46,32%",Financeiro e Outros,Intermediários Financeiros,Bancos,3.766,22,587,3.157,-,
bmgb4,"4,36","2,02","4,36","12,01","108,61%",PN,"0,000",44,"0,24","0,24",19.289,67.512,12,4.341.618.000,"0,0200","0,1680","740,00%","0,0840","1.160,00%",46.167.919.000,213.315.000,-,213.315.000,-,2.542.893.312,2.542.893.312,Nível 1,"27,43%",Financeiro e Outros,Intermediários Financeiros,Bancos,61.572,39,278,61.255,-,
bmin3,"19,50","18,64","31,51","6,53","-14,62%",ON,"0,000",0,"5,00","5,00",70,1.400,2,137.896.000,"1,2071","1,2727","5,43%","0,0000","5,43%",328.907.000,485.000,-,485.000,-,92.316.043,92.316.043,,"7,47%",Financeiro e Outros,Intermediários Financeiros,Bancos,2.552,9,357,2.186,-,
bmin4,"17,00","13,82","23,79","8,24","13,94%",PN,"0,000",0,"5,00","5,00",10,156,1,137.896.000,"1,2071","1,4000","15,98%","0,0000","15,98%",328.907.000,485.000,-,485.000,-,92.316.043,92.316.043,,"7,47%",Financeiro e Outros,Intermediários Financeiros,Bancos,2.552,9,357,2.186,-,
bmks3,"309,98","271,51","395,12","12,67","6,31%",ON,"0,000",0,"8,00","8,00",1,390,1,182.536.000,"57,7863","39,2652","32,05%","0,0000","32,05%",202.655.000,171.803.000,0,158.834.000,-158.834.000,140.963.405,-17.870.595,,"22,00%",Consumo Cíclico,Viagens e Lazer,Bicicletas,484,1,22,461,-,
bmob3,"14,47","11,12","16,55","3,61","30,01%",ON,"0,000",28,"0,83","0,83",48.484,666.655,8,1.145.338.000,"0,2235","0,0000","100,00%","0,0000","100,00%",1.455.062.000,913.252.000,0,513.733.000,-513.733.000,1.238.753.432,725.020.432,Novo Mercado,"94,81%",Tecnologia da Informação,Programas e Serviços,Programas e Serviços,14.036,184,245,13.607,-,
